planet,planet_mass_mjup,planet_radius_rjup,planet_temperature_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K,has_missing_data,planet_mass_mearth,planet_radius_rearth,planet_mass_kg,planet_radius_m,Luminosity_Lsun,Flux_inner_HZ_boundary,Flux_outer_HZ_boundary,HZ_inner_boundary_AU,HZ_outer_boundary_AU,HZ_middle_AU,HZ_subindex,escape_velocity,thermal_velocity,jeans_parameter,jeans_parameter_norm,water_subindex,planet_temperature_C,temperature_subindex,star_distance_m,radiation_I,relative_r,C12_stability_temperature,C12_stability_radiation,C12_stability_subindex,pre_seq_GY,main_seq_GY,main_seq_end_GY,mid_main_seq_GY,star_age_subindex,PO_HUI,HUI,density,ESI_r,ESI_d,ESI_ev,ESI_t,ESI,star_distance_AU_adj,PHI_substrate_subindex,PHI_energy_light,PHI_energy_temperature,PHI_energy_subindex,PHI_chemistry_subindex,PHI_liquid_medium_subindex,PHI
109 Psc b,5.743,1.152,,109 Psc,2.051,1.13,1.79,6.9,5600.0,True,1825.1254000000001,12.902399999999998,1.0900013913880001e+28,82293274.8288,1.5526815645953902,1.412144,0.17954784000000001,1.0485803277253851,2.499597211852434,1.7740887697889094,0.6564890320488368,133040.86513602952,,,0.1,0.32490858560654945,,0.1,306829600000.0,1.3124356681519902e-24,0.3694564510263905,0.1,0.046182056378298815,0.0730910281891494,0.007367224280551316,7.367224280551316,7.374591504831867,3.683612140275658,0.21572331139273027,0.2740423914474531,0.24763976273552576,4.669231505741498,12.902399999999998,0.85001478317806,11.89552952959876,,,2.555682261610104,1.0,1,0,0.3333333333333333,0.0,0.5,0.03593041119630842
112 Psc b,0.033,,,112 Psc,0.054,1.1,1.801,,5986.0,True,10.487400000000001,,6.263285028000001e+25,,1.4093331472388957,1.5169636123999999,0.177224789324,0.9638717495429691,2.3969751113423987,1.680423430442684,0.005602405094412691,,,,0.1,0.07500000000000001,,0.1,8078400000.0,1.718514084463777e-21,483.76932301669626,0.1,0.09995212282831248,0.09997606141415624,0.007879856109467703,7.8798561094677035,7.887735965577171,3.9399280547338518,0.1,0.07611569330171379,0.07802134004762179,,,,,,,0.06410628251075412,0.0,2,0,0.6666666666666666,0.0,0.0,0.00016068568378893036
112 Psc c,9.866,,,112 Psc,22.21,1.1,1.801,,5986.0,True,3135.4148,,1.8725324268560001e+28,,1.4093331472388957,1.5169636123999999,0.177224789324,0.9638717495429691,2.3969751113423987,1.680423430442684,0.0998018222483996,,,,0.1,0.07500000000000001,,0.1,3322616000000.0,1.0158825452302992e-26,0.0028597543401798,0.1,0.0003574692925224776,0.05017873464626124,0.007879856109467703,7.8798561094677035,7.887735965577171,3.9399280547338518,0.1,0.08499611137893218,0.08270962060274423,,,,,,,26.366676565997206,0.0,0,0,0.0,0.0,0.0,1e-05
11 Com b,16.1284,,,11 Com,1.29,2.7,19.0,,4742.0,True,5125.60552,,3.0611141286544e+28,,35.719843790663525,1.2238732315999998,0.185372203116,5.4023977701808725,11.79916829005673,8.600783030118802,0.023878286177302546,,,,0.1,0.07500000000000001,,0.1,192984000000.0,7.632328937618855e-23,21.48534385939995,0.1,0.09999835145737135,0.09999917572868568,0.0008348156645407195,0.8348156645407194,0.8356504802052601,0.4174078322703597,0.1,0.07977549238119766,0.08153090402006591,,,,,,,7.709824385292,0.0,1,0,0.3333333333333333,0.0,0.0,0.00013512001548070344
11 UMi b,11.0873,,,11 UMi,1.54,1.8,24.08,1.56,4340.0,True,3523.5439400000005,,2.1043309118468005e+28,,8.29814498173977,1.15688564,0.1884146364,2.6782141114661906,5.6409482640757656,4.1595811877709785,0.05750100387444101,,,,0.1,0.07500000000000001,,0.1,230384000000.0,1.244132186251783e-23,3.5022871847693233,0.1,0.4369853834269022,0.2684926917134511,0.0023004814583331167,2.300481458333117,2.30278193979145,1.1502407291665584,0.6800258937811443,0.23620391787380726,0.19992501613093308,,,,,,,4.436201149485226,0.0,1,0,0.3333333333333333,0.5,0.0,0.0020205155046766235
14 And b,4.684,,,14 And,0.83,2.2,11.0,,4813.0,True,1488.5752,,8.89006880944e+27,,17.08919679201786,1.2371115010999998,0.184855645811,3.7166905484985384,8.172659244706665,5.944674896602602,0.022331695070371194,,,,0.1,0.07500000000000001,,0.1,124168000000.0,8.820483971933136e-23,24.83005288323347,0.1,0.0999980169847966,0.0999990084923983,0.0013929749224447145,1.392974922444715,1.3943678973671596,0.6964874612223575,0.1,0.07946614071255391,0.08123438843307884,,,,,,,3.4311437845157555,0.0,1,0,0.3333333333333333,0.0,0.0,0.00013512001548070344
14 Her b,,,,14 Her,2.82,0.9,0.708,5.1,5311.0,True,,,,,0.6843417467591262,1.3418387099,0.18140787029900002,0.7141449324152682,1.6509251375722462,1.1825350349937573,0.09998830732100196,,,,0.1,0.07500000000000001,,0.1,421872000000.0,3.059861479003246e-25,0.0861364553019739,0.1,0.010767056912746736,0.05538352845637337,0.013013488313450118,13.013488313450118,13.026501801763569,6.506744156725059,0.8050319907458929,0.22708076530465365,0.1652340689915785,,,,,,,2.3328436096162286,0.0,2,0,0.6666666666666666,0.0,0.0,0.00016068568378893036
14 Her c,7.1,,,14 Her,27.0,0.9,0.708,5.1,5311.0,True,2256.38,,1.3475552636000001e+28,,0.6843417467591262,1.3418387099,0.18140787029900002,0.7141449324152682,1.6509251375722462,1.1825350349937573,0.09974646739504066,,,,0.1,0.07500000000000001,,0.1,4039200000000.0,3.3378933368484795e-27,0.0009396317519114092,0.1,0.00011745396898892035,0.05005872698449446,0.013013488313450118,13.013488313450118,13.026501801763569,6.506744156725059,0.8050319907458929,0.22596743702508562,0.16375816051949588,,,,,,,22.335736687814954,0.0,0,0,0.0,0.0,0.0,1e-05
15 Sge b,61.5,,,15 Sge,14.0,,,,,True,19544.7,,1.1672485734e+29,,,,,,,,666.0,,,,0.1,0.07500000000000001,,0.1,2094400000000.0,,,0.1,0.1,0.1,,,,,0.1,133.275,127.74449182500003,,,,,,,,0.0,0,0,0.0,0.5,0.0,0.00014953487812212208
16 Cyg B b,1.64,,,16 Cyg B,1.68,1.01,0.98,8.0,5766.0,True,521.192,,3.1126628624000004e+27,,1.036470499741012,1.4556916764,0.17852620196400001,0.8438082621163594,2.0480776376105996,1.4459429498634795,0.6501590932902106,,,,0.1,0.32500000000000007,,0.1,251328000000.0,1.3057659247904158e-24,0.36757888874168526,0.1,0.04594736109271066,0.07297368054635534,0.009754310265758152,9.754310265758154,9.764064576023912,4.877155132879077,0.4248797909788621,0.3146025129630856,0.2704657898851671,,,,,,,1.7103608796008614,0.0,2,0,0.6666666666666666,0.0,0.5,0.002402811414134754
18 Del b,10.3,,,18 Del,2.6,2.3,8.5,,4979.0,True,3273.34,,1.9549041148000001e+28,,20.054886556091958,1.2697113779,0.18367227297900002,3.9742721114016084,8.881927631569086,6.4280998714853474,0.06542078466496994,,,,0.1,0.07500000000000001,,0.1,388960000000.0,1.0548736950525952e-23,2.969516153153596,0.1,0.556858865540441,0.32842943277022046,0.001246465923243454,1.246465923243454,1.2477123891666975,0.623232961621727,0.1,0.13377004348703808,0.15082098129060317,,,,,,,11.643497460779628,0.0,0,0,0.0,0.5,0.0,0.00014953487812212208
1RXS 1609 b,14.0,1.7,1800.0,1RXS 1609,330.0,0.73,1.35,0.011,4060.0,False,4449.2,19.04,2.657151224e+28,121439728.47999999,0.32207891641768677,1.11822884,0.19065194840000002,0.5366804852578096,1.10478927593078,0.8207348805942949,0.09671068449270956,170994.22725023815,1266.2283848424206,9118.193673370768,0.09999983191011928,0.06728892547766331,1527.0,0.07235416666666668,49368000000000.0,1.0516261227697601e-29,2.9603740934002413e-06,0.07400000000000001,3.700467616774006e-07,0.037000185023380844,0.021963060085594028,21.96306008559403,21.985023145679623,10.981530042797015,0.050084095554676834,0.06468761144301945,0.06418475796317974,3.541973436332249,19.04,0.6448019933910484,15.289038278324245,1800.0,0.07753127123414183,187.28159012002777,1.0,0,0,0.0,0.0,0.0,0.0001778279410038923
1RXS J0342.5+1216 b,35.0,,,1RXS J0342.5+1216,19.8,,,,,True,11123.0,,6.64287806e+28,,,,,,,,666.0,,,,0.1,0.07500000000000001,,0.1,2962080000000.0,,,0.1,0.1,0.1,,,,,0.1,133.275,127.74449182500003,,,,,,,,0.0,0,0,0.0,0.5,0.0,0.00014953487812212208
