planet,planet_mass_mjup,planet_radius_rjup,star_distance_AU,temp_calculated_K,star_name,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
109 Psc b,5.743,1.152,2.051,,109 Psc,1.13,1.79,6.9,5600.0
112 Psc b,0.033,,0.054,,112 Psc,1.1,1.801,,5986.0
112 Psc c,9.866,,22.21,,112 Psc,1.1,1.801,,5986.0
11 Com b,16.1284,,1.29,,11 Com,2.7,19.0,,4742.0
11 UMi b,11.0873,,1.54,,11 UMi,1.8,24.08,1.56,4340.0
14 And b,4.684,,0.83,,14 And,2.2,11.0,,4813.0
14 Her b,,,2.82,,14 Her,0.9,0.708,5.1,5311.0
14 Her c,7.1,,27.0,,14 Her,0.9,0.708,5.1,5311.0
15 Sge b,61.5,,14.0,,15 Sge,,,,
16 Cyg B b,1.64,,1.68,,16 Cyg B,1.01,0.98,8.0,5766.0
18 Del b,10.3,,2.6,,18 Del,2.3,8.5,,4979.0
1RXS 1609 b,14.0,1.7,330.0,1800.0,1RXS 1609,0.73,1.35,0.011,4060.0
1RXS J0342.5+1216 b,35.0,,19.8,,1RXS J0342.5+1216,,,,
1RXS J235133.3+312720 b,32.0,,120.0,,1RXS J235133.3+312720,0.45,,0.1,
1SWASP J1407 b,20.0,,3.9,,1SWASP J1407,0.9,0.99,0.016,4400.0
23 Lib b,1.59,,0.81,,23 Lib,1.07,1.25,9.7,5740.0
23 Lib c,0.82,,5.8,,23 Lib,1.07,1.25,9.7,5740.0
24 Boo b,0.91,,0.19,,24 Bo&ouml;,0.99,10.64,6.92,4893.0
24 LMi b,0.0541,0.2221,0.58,460.0,24 LMi,1.25,1.54,1.9,5861.0
24 Sex b,1.84,,1.333,,24 Sex,1.54,4.9,2.7,5098.0
24 Sex c,1.52,,2.08,,24 Sex,1.54,4.9,2.7,5098.0
29 Cyg b,16.1,,16.9,1400.0,29 Cyg,1.85,,,8000.0
2M0045+16,25.0,,,,,,,,
2M 0103-55 (AB) b,13.0,,84.0,,2M 0103-55 (AB),0.4,,0.03,
2M0117-34,16.4,,,,,,,,
2M 0219-39 b,13.9,1.44,156.0,1683.0,2M 0219-39,0.11,0.27,,3064.0
2M0355,28.0,1.22,,1527.0,,,,,
2M0418+21,47.0,,,,,,,,
2M0437 b,4.0,,118.0,1450.0,2M0437,0.0165,0.84,0.0025,3100.0
2M 0441+23 b,7.5,,15.0,,2M 0441+23,0.02,,0.001,
2M0444,50.0,,,,,,,,
2M0838+15 b,,,27.0,,2M0838+15,,,,
