planet,planet_mass_mjup,planet_radius_rjup,planet_temperature_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
109 Psc b,5.743,1.152,,109 Psc,2.051,1.13,1.79,6.9,5600
112 Psc b,0.033,,,112 Psc,0.054,1.1,1.801,,5986
112 Psc c,9.866,,,112 Psc,22.21,1.1,1.801,,5986
11 Com b,16.1284,,,11 Com,1.29,2.7,19,,4742
11 UMi b,11.0873,,,11 UMi,1.54,1.8,24.08,1.56,4340
14 And b,4.684,,,14 And,0.83,2.2,11,,4813
14 Her b,,,,14 Her,2.82,0.9,0.708,5.1,5311
14 Her c,7.1,,,14 Her,27,0.9,0.708,5.1,5311
15 Sge b,61.5,,,15 Sge,14,,,,
16 Cyg B b,1.64,,,16 Cyg B,1.68,1.01,0.98,8,5766
18 Del b,10.3,,,18 Del,2.6,2.3,8.5,,4979
1RXS 1609 b,14,1.7,1800,1RXS 1609,330,0.73,1.35,0.011,4060
1RXS J0342.5+1216 b,35,,,1RXS J0342.5+1216,19.8,,,,
1RXS J235133.3+312720 b,32,,,1RXS J235133.3+312720,120,0.45,,0.1,
1SWASP J1407 b,20,,,1SWASP J1407,3.9,0.9,0.99,0.016,4400
23 Lib b,1.59,,,23 Lib,0.81,1.07,1.25,9.7,5740
23 Lib c,0.82,,,23 Lib,5.8,1.07,1.25,9.7,5740
24 Boo b,0.91,,,24 Bo&ouml;,0.19,0.99,10.64,6.92,4893
24 LMi b,0.0541,0.2221,460,24 LMi,0.58,1.25,1.54,1.9,5861
24 Sex b,1.84,,,24 Sex,1.333,1.54,4.9,2.7,5098
24 Sex c,1.52,,,24 Sex,2.08,1.54,4.9,2.7,5098
29 Cyg b,16.1,,1400,29 Cyg,16.9,1.85,,,8000
2M0045+16,25,,,,,,,,
2M 0103-55 (AB) b,13,,,2M 0103-55 (AB),84,0.4,,0.03,
2M0117-34,16.4,,,,,,,,
2M 0219-39 b,13.9,1.44,1683,2M 0219-39,156,0.11,0.27,,3064
2M0355,28,1.22,1527,,,,,,
2M0418+21,47,,,,,,,,
