planet,planet_mass_mjup,planet_radius_rjup,planet_temperature_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K,has_missing_data,planet_mass_mearth,planet_radius_rearth,planet_mass_kg,planet_radius_m,Luminosity_Lsun,Flux_inner_HZ_boundary,Flux_outer_HZ_boundary,HZ_inner_boundary_AU,HZ_outer_boundary_AU,HZ_middle_AU,HZ_subindex,escape_velocity,thermal_velocity,jeans_parameter,jeans_parameter_norm,water_subindex,planet_temperature_C,temperature_subindex,star_distance_m,radiation_I,relative_r,C12_stability_temperature,C12_stability_radiation,C12_stability_subindex,pre_seq_GY,main_seq_GY,main_seq_end_GY,mid_main_seq_GY,star_age_subindex,PO_HUI,HUI,density,ESI_r,ESI_d,ESI_ev,ESI_t,ESI,star_distance_AU_adj,PHI_substrate_subindex,PHI_energy_light,PHI_energy_temperature,PHI_energy_subindex,PHI_chemistry_subindex,PHI_liquid_medium_subindex,PHI
Mars,0.000338,0.047,210.0,Sun,1.5201173,1.0,1.0,4.6,5778.0,False,0.1074164,0.5264,6.4151222408e+23,3357451.3167999997,1.0,1.4589291996,0.178453670796,0.8279095490427654,2.0121306789571483,1.4200201139999569,0.8478536396212557,5053.023440776747,432.4993305980276,68.24985781222983,0.06824985781222984,0.3130592724206258,-63.0,0.09012875536480687,227409548079.99997,1.5387665809378686e-24,0.43316960499238766,0.20227272727272727,0.05414620062404846,0.12820946394838786,0.01,10.0,10.01,5.0,0.9278557114228456,0.46142136855558435,0.3706552687124423,4.046570906070025,0.5264,0.7366619297218857,0.4518039588216436,210.0,0.6586700529766619,1.5201173,1.0,2,1,1.0,0.5,0.5,0.7071067811865476
Jupiter,1.0,1.0,165.0,Sun,5.197878,1.0,1.0,4.6,5778.0,False,317.8,11.2,1.8979651600000002e+27,71435134.39999999,1.0,1.4589291996,0.178453670796,0.8279095490427654,2.0121306789571483,1.4200201139999569,0.0999681361153596,59585.678876208134,383.36968177364497,12078.646164724913,0.0999997110750771,0.06647883558502689,-108.0,0.07081545064377683,777602548800.0,1.3160572594168492e-25,0.037047594500103004,0.0825,0.004630949312512872,0.04356547465625644,0.01,10.0,10.01,5.0,0.9278557114228456,0.24173672168465304,0.1639108395842462,1.2429796780500246,11.2,0.22627944239501585,5.3277104135514834,165.0,0.3110412285633919,5.197878,0.5,1,0,0.3333333333333333,0.0,0.0,0.0020205155046766235
Saturn,0.299,0.843,134.0,Sun,9.570696,1.0,1.0,4.6,5778.0,False,95.0222,9.4416,5.6749158284e+26,60219818.2992,1.0,1.4589291996,0.178453670796,0.8279095490427654,2.0121306789571483,1.4200201139999569,0.09992439913490758,35486.54340407369,345.48420065644945,5275.225372573995,0.0999999887662884,0.06339114695626787,-139.0,0.05751072961373391,1431776121600.0,3.8818603319154837e-26,0.010927608692843998,0.067,0.0013659510866055047,0.034182975543302754,0.01,10.0,10.01,5.0,0.9278557114228456,0.23657299253421155,0.15792664638339557,0.6203724351913137,9.4416,0.11293630233162909,3.1729440765056105,134.0,0.24070778316611993,9.570696,0.0,1,0,0.3333333333333333,0.0,0.0,0.00013512001548070344
Uranus,0.046,0.355,76.0,Sun,17.2,1.0,1.0,4.6,5778.0,False,14.6188,3.9759999999999995,8.730639736e+25,25359472.711999997,1.0,1.4589291996,0.178453670796,0.8279095490427654,2.0121306789571483,1.4200201139999569,0.09984809074066146,21448.979347881483,260.1851995493136,3397.958650491553,0.40677387543778776,0.13428579652402467,-197.0,0.03261802575107296,2573120000000.0,1.2019047598782504e-26,0.00338341511002671,0.038000000000000006,0.00042292688875333884,0.019211463444376672,0.01,10.0,10.01,5.0,0.9278557114228456,0.24276381757659626,0.15924570374146046,1.278017500223265,3.9759999999999995,0.23265793675345495,1.9178089901294575,76.0,0.18734588613790426,17.2,0.5,0,0,0.0,0.0,0.5,0.00223606797749979
Neptune,0.054,0.344,72.0,Sun,30.1,1.0,1.0,4.6,5778.0,False,17.1612,3.8527999999999993,1.0249011864000001e+26,24573686.233599994,1.0,1.4589291996,0.178453670796,0.8279095490427654,2.0121306789571483,1.4200201139999569,0.09971906477895187,23608.019236763266,253.2456769684841,4345.1525083857805,0.22539632818144628,0.08853947974977143,-201.0,0.03090128755364807,4502960000000.0,3.924586971031022e-27,0.0011047886073556606,0.036000000000000004,0.00013809857591945418,0.01806904928795973,0.01,10.0,10.01,5.0,0.9278557114228456,0.23301691855863535,0.1514338765627317,1.6488549803078796,3.852799999999999,0.30016740589003904,2.1108543580133405,72.0,0.18478568083600422,30.1,0.5,0,0,0.0,0.0,0.0,0.00014953487812212208
Earth,0.00314558,0.08928571,288.0,Sun,1.0,1.0,1.0,4.6,5778.0,False,0.999665324,0.999999952,5.9702012479928e+24,6378136.693849424,1.0,1.4589291996,0.178453670796,0.8279095490427654,2.0121306789571483,1.4200201139999569,0.3615751432719476,11184.10616445887,506.4913539369682,243.79707677045351,0.7470868454670408,0.6577634140051066,15.0,1.0,149600000000.0,3.5557150416238165e-24,1.000949526150302,1.0,0.999786356616182,0.999893178308091,0.01,10.0,10.01,5.0,0.9278557114228456,0.7894174894015982,0.7624009140584962,5.493117560814997,0.999999952,0.9999999200481396,1.0000000000410287,288.0,0.999999985882848,1.0,1.0,2,1,1.0,1.0,1.0,1.0
Mars_prehistoric,0.000338,0.047,290.0,Sun,1.5201173,1.0,1.0,1.0,5600.0,False,0.1074164,0.5264,6.4151222408e+23,3357451.3167999997,1.0,1.412144,0.17954784000000001,0.8415123759593819,2.0059903214570536,1.4237513487082176,0.8510416508995576,5053.023440776747,633.0367399387105,31.857727845264602,0.03185772784526461,0.4879612399288844,17.0,0.9902702702702703,227409548079.99997,1.5387665809378686e-24,0.43316960499238766,0.9915094339622641,0.05414620062404846,0.5228278172931563,0.01,10.0,10.01,5.0,0.2785571142284569,0.6261316185240651,0.637582419850649,4.046570906070025,0.5264,0.7366619297218857,0.4518039588216436,290.0,0.8313236220065444,1.5201173,1.0,2,1,1.0,0.5,0.5,0.7071067811865476
Earth_prehistoric,0.00314558,0.08928571,333.15,Sun,1.0,1.0,1.0,1.0,5600.0,False,0.999665324,0.999999952,5.9702012479928e+24,6378136.693849424,1.0,1.412144,0.17954784000000001,0.8415123759593819,2.0059903214570536,1.4237513487082176,0.3449833630392986,11184.10616445887,484.0213627878159,266.95834790893423,0.851312565590204,0.6632323440358974,60.14999999999998,0.7803513513513515,149600000000.0,3.5557150416238165e-24,1.000949526150302,0.8083254716981133,0.999786356616182,0.9040559141571476,0.01,10.0,10.01,5.0,0.2785571142284569,0.5942360173624304,0.6089075672809348,5.493117560814997,0.999999952,0.9999999200481396,1.0000000000410287,333.15,0.9000782251724088,1.0,1.0,2,1,1.0,1.0,1.0,1.0
1RXS 1609 b,14.0,1.7,1800.0,1RXS 1609,330.0,1.35,0.011,4060.0,1800.0,False,4449.2,19.04,2.657151224e+28,121439728.47999999,2.945788528334535,1.046736,0.21226356,1.6775759941466584,3.1665181896672,2.4220470919069292,0.09673062992991711,170994.22725023815,1266.2283848424206,9118.193673370768,0.09999983191011928,0.06728892547766331,1527.0,0.07235416666666668,49368000000000.0,9.618351312802564e-29,2.7076084771124412e-05,0.07400000000000001,3.384510596393664e-06,0.0370016922552982,0.004722430539499974,4.722430539499975,4.727152970039475,2.3612152697499873,0.09932411586714887,0.07453990603933884,0.0669074017076658,3.541973436332249,19.04,0.6448019933910484,15.289038278324245,1800.0,0.07753127123414183,566.3888864866885,1.0,0,0,0.0,0.0,0.0,0.0001778279410038923
24 LMi b,0.0541,0.2221,460.0,24 LMi,0.58,1.54,1.9,5861.0,460.0,False,17.192980000000002,2.48752,1.0267991515600002e+26,15865743.35024,4.73232535045503,1.20647204,0.22806358040000002,1.9805174201876874,3.8719367490860583,2.926227084636873,0.029285276367073565,29408.051146099566,640.1101417321765,1055.34164976036,0.8553601096203566,0.2634908039648039,187.0,0.16324324324324313,86768000000.0,5.002021531055484e-23,14.08091206042516,0.2698113207547169,0.09999909190425349,0.1849052063294852,0.003397803019165881,3.39780301916588,3.401200822185046,1.69890150958294,0.09902372799930849,0.14798965158078287,0.142172590794773,6.137840771284191,2.48752,1.1173691829092678,2.629450285509608,460.0,0.5693349118310893,1.261726693025503,1.0,2,0,0.6666666666666666,0.5,0.5,0.6389431042462724
